latitude,longitude,bar,night_club,police,bus_station,train_station,shopping_mall,hospital
44.396308000000005,-100.0,0,0,0,0,0,0,0
44.396308000000005,-97.5,2,0,1,0,0,1,1
44.396308000000005,-95.0,3,0,1,0,0,0,0
44.396308000000005,-92.5,4,0,1,0,0,0,0
44.396308000000005,-90.0,3,0,0,0,0,0,0
44.396308000000005,-87.5,7,0,1,0,0,0,2
44.396308000000005,-85.0,0,0,0,0,0,1,0
44.396308000000005,-82.5,0,0,0,0,0,0,0
44.396308000000005,-80.0,1,1,1,0,0,1,0
44.396308000000005,-77.5,0,0,0,0,0,0,0
44.396308000000005,-75.0,1,0,0,0,0,0,0
44.396308000000005,-72.5,1,0,0,0,0,0,0
44.396308000000005,-70.0,1,1,0,0,0,0,0
44.396308000000005,-67.5,0,0,0,0,0,0,0
46.896308000000005,-125.0,0,0,0,0,0,0,0
46.896308000000005,-122.5,8,1,2,1,0,2,2
46.896308000000005,-120.0,0,0,0,0,0,0,0
46.896308000000005,-117.5,0,0,0,0,0,0,1
46.896308000000005,-115.0,0,0,0,0,0,0,0
46.896308000000005,-112.5,0,0,0,0,0,0,0
46.896308000000005,-110.0,0,0,0,0,0,0,0
46.896308000000005,-107.5,0,0,0,0,0,0,0
46.896308000000005,-105.0,0,0,0,0,0,0,0
46.896308000000005,-102.5,2,0,0,0,0,0,0
46.896308000000005,-100.0,2,0,2,0,0,0,0
46.896308000000005,-97.5,1,0,0,0,0,0,0
46.896308000000005,-95.0,6,0,3,0,0,0,2
46.896308000000005,-92.5,3,0,1,0,0,0,0
46.896308000000005,-90.0,0,0,0,0,0,0,0
46.896308000000005,-87.5,0,0,0,0,0,0,0
46.896308000000005,-85.0,0,0,0,0,0,0,0
46.896308000000005,-82.5,0,0,0,0,0,0,0
46.896308000000005,-80.0,1,0,0,0,0,1,0
46.896308000000005,-77.5,0,0,0,0,0,0,0
46.896308000000005,-75.0,0,0,0,0,0,0,0
46.896308000000005,-72.5,4,1,2,0,1,0,0
46.896308000000005,-70.0,0,0,0,0,0,0,0
46.896308000000005,-67.5,0,0,0,0,0,0,1
